label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20190415_neg_blankmid04,20190415_neg_blankpost05,20190415_neg_blankpost06,20190415_neg_blankpost07,20190415_neg_blankpre01,20190415_neg_blankpre02,20190415_neg_blankpre03,20190415_neg_no_cell_a,20190415_neg_no_cell_b,20190415_neg_mock_dmso_a,20190415_neg_mock_dmso_b,20190415_neg_mock_TLCK_a,20190415_neg_mock_TLCK_b,20190415_neg_WT_dmso_a,20190415_neg_WT_dmso_b,20190415_neg_WT_TLCK_a,20190415_neg_WT_TLCK_b,20190415_neg_dl37x1_dmos_a,20190415_neg_dl37x1_dmos_b,20190415_neg_dl37x1_TLCK_a,20190415_neg_dl37x1_TLCK_b
,0,1,12, 452.2784,4.441996,0.8267183,C12 PARENT,LPE(16:0),LPE(16:0),-1,0.2024257,452.2783,0,0,0,0,0,0,0,7312.742,596.6999,73225.95,81738.6,86596.7,83150.97,469531.3,391212.4,204679.2,189678.4,113273.8,118733.6,146444.8,149063.9
,0,2,11, 450.263,3.347324,0.7349856,C12 PARENT,LPE(16:1),LPE(16:1),-1,0.8811048,450.263,0,0,0,0,0,0,0,340.8566,0,9947.839,8624.169,11722.25,9821.405,16551.65,18218.83,12116.41,14425.8,10507.81,14143.79,16761.11,17750.03
,0,3,14, 478.294,4.49109,0.8213322,C12 PARENT,LPE(18:1),LPE(18:1),-1,0.1914152,478.294,0,0,0,0,0,0,0,58810.97,2463.623,515367.8,461238,506049.8,536273.8,957657.3,881094.2,891515.4,818873.2,794675.7,808304.4,893375.2,923475.6
,0,4,12, 506.3255,5.012019,0.8011262,C12 PARENT,LPE(20:1),LPE(20:1),-1,0.6027268,506.3255,0,0,0,0,0,0,0,6213.489,0,61836.91,51834.06,52851.61,54108.95,93628.21,89202.54,97950.23,99267.82,127780.1,118691.9,130360.8,134162.1
,0,5,11, 690.5079,7.189522,0.8540045,C12 PARENT,PE(32:0),PE(32:0),-1,0.08839168,690.5079,0,693.5295,0,0,0,563.9567,0,3577.56,571.6451,289941.3,244840.7,413052.7,396182.9,422827.1,374729.1,420341.5,345078.6,315597.2,332920.2,409954.5,421911.7
,0,6,12, 718.5395,7.688108,0.8541813,C12 PARENT,PE(34:0),PE(34:0),-1,0.3397735,718.5395,0,0,0,0,0,0,0,4110.157,0,422721,377026.6,604596.2,535122.1,524099.2,485446.5,715725.5,554715.8,622421.9,637154.2,651010.5,793008.8
,0,7,14, 716.5236,7.343664,0.8512914,C12 PARENT,PE(34:1),PE(34:1),-1,0,716.5236,0,0,0,0,0,0,682.1399,93346.77,3939.454,5965294,5681958,9487469,7919468,1.391654e+007,1.190896e+007,1.227854e+007,1.000805e+007,1.068823e+007,1.073913e+007,1.161998e+007,1.143016e+007
,0,8,11, 746.5696,6.700418,0.8548238,C12 PARENT,PE(36:0),PE(36:0),-1,1.308065,746.5696,0,0,0,0,0,0,0,0,0,41428.32,90739.41,115408.8,81634.6,528216.7,476910,620944.9,561642.9,458156.8,467398.8,965549.4,904303.6
,0,9,14, 744.5551,7.800491,0.8524565,C12 PARENT,PE(36:1),PE(36:1),-1,0.2459261,744.5551,1300.924,1002.583,0,0,597.9392,0,0,189253.5,8248.248,1.542524e+007,1.35199e+007,2.075459e+007,1.750250e+007,2.350581e+007,2.294317e+007,2.790363e+007,2.313721e+007,2.894379e+007,2.792326e+007,2.948235e+007,3.090586e+007
,0,10,12, 772.5865,8.215467,0.8541434,C12 PARENT,PE(38:1),PE(38:1),-1,0.3950055,772.5865,0,0,0,0,0,0,0,2607.819,0,756735.8,710088.3,803646.8,784220.1,898709.8,836011.2,1020732,933008.8,1529444,1493971,1429115,1612854
