label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,20190822_neg_blank_targetedMS2_post04,20190822_neg_blank_targetedMS2_post05,20190822_neg_blank_targetedMS2_post06,20190822_neg_blank_targetedMS2_pre01,20190822_neg_blank_targetedMS2_pre02,20190822_neg_blank_targetedMS2_pre03,20190822_neg_no_cell_rep2_targetedMS2_a,20190822_neg_no_cell_rep2_targetedMS2_b,20190822_neg_no_cell_rep3_targetedMS2_a,20190822_neg_endo_m_rep2_targetedMS2_a,20190822_neg_no_cell_rep3_targetedMS2_b,20190822_neg_endo_m_rep2_targetedMS2_b,20190822_neg_endo_m_rep3_targetedMS2_a,20190822_neg_endo_m_rep3_targetedMS2_b,20190822_neg_endo_tb40e_rep2_targetedMS2_a,20190822_neg_endo_tb40e_rep2_targetedMS2_b,20190822_neg_endo_tb40e_rep3_targetedMS2_a,20190822_neg_endo_tb40e_rep3_targetedMS2_b
,0,1,7,338.933,1.124017,0.8496946,,1,1,0,0,338.933,4615.494,5363.331,5578.346,3479.811,4933.989,2120.648,807.1174,1657.167,4894.648,7866.933,2075.704,5966.387,10716.86,6214.179,34200.11,16580.7,29391.02,9177.79
,0,2,7,379.9273,1.122344,0.8517141,,2,2,0,0,379.9273,0,0,0,0,0,415.4284,0,0,0,18808.34,0,20211.73,43770.54,31562.73,59719.83,46400.18,52012.48,49807.72
,0,3,2,398.9,1.120744,0.841608,,3,3,0,0,398.9,1531.05,3215.528,2522.628,3150.177,2644.221,2220.489,0,1161.231,2363.597,7221.742,0,5211.291,19626.17,7206.734,36610.46,10150.96,21708.35,11084.01
,0,4,6,381.9242,1.13977,0.8507562,,4,4,0,0,381.9242,1040.245,0,0,0,0,1055.266,0,0,0,13630.88,0,11145.02,16040.58,14673.05,23729.44,24982.69,57931.93,25191.83
,0,5,7,320.9225,1.128559,0.8492157,,5,5,0,0,320.9225,2445.036,2819.76,5187.192,8467.706,5652.381,4980.607,655.2938,866.5086,0,5847.204,4186.661,5939.942,8119.42,7706.86,26536.78,15083.24,28935.17,16816.4
,0,6,4,276.0616,1.135988,0.8505667,,6,6,0,0,276.0616,0,0,0,0,0,0,0,0,0,7806.862,0,9017.805,2519.259,1639.965,56078.59,32124.5,39737.48,43889.28
,0,7,1,292.9455,1.13045,0.8006895,,7,7,0,0,292.9455,690.5734,1673.012,868.3132,971.9667,989.7593,718.7925,0,2353.846,3156.528,3828.876,1214.504,2702.492,2091.818,1632.398,19829.86,3972.041,4959.393,0
,0,8,18,200.9891,1.1542,0.8510093,,8,8,0,0,200.9891,28115.88,27139.46,23798.31,13772.02,23088.99,29455.24,6555.804,23317.31,40239.4,40474.63,38603.88,49080.94,76704.18,50029.29,126350.8,49761.59,94430.19,51492.14
,0,9,3,246.9942,1.160281,0.8415909,,9,9,0,0,246.9942,1556.129,2078.077,1042.081,0,983.7621,1491.418,0,2976.949,6444.84,1737.506,1959.084,3352.49,2991.109,3003.554,4199.74,7276.655,7035.003,2481.679
,0,10,13,306.9612,1.145641,0.8468854,,10,10,0,0,306.9612,6080.487,5758.772,7339.049,1625.334,6905.308,4080.439,0,499.5028,3189.927,8691.851,3467.856,6446.435,8953.55,9770.773,33125.8,11031.38,19513.2,14788.13
